server name,server id,idle latency,idle jitter,packet loss,download,upload,download bytes,upload bytes,share url,download server count,download latency,download latency jitter,download latency low,download latency high,upload latency,upload latency jitter,upload latency low,upload latency high,idle latency low,idle latency high,date
"Netprotect - Denver, CO",37501,11.488,4.06725,,35373553,5038714,322920805,31264549,https://www.speedtest.net/result/c/1f51130f-9a3f-4b36-a51e-af64c664da33,1,44.9924,8.76101,17.342,81.6,34.7148,25.9762,7.047,402.269,10.866,19.369,2022-12-15 08:53:01.148564
"NextLight - Denver, CO",47683,16.3352,1.9625,0.0,34306888,4280192,313299940,56894567,https://www.speedtest.net/result/c/2962ca23-1770-4bae-b36d-9fa995acaef6,1,46.7042,9.43629,16.569,105.472,50.8473,22.6184,7.587,442.864,15.247,21.093,2022-12-15 08:53:27.725793
"Netprotect - Denver, CO",37501,17.1438,10.2003,,27800024,5221819,240964524,61187947,https://www.speedtest.net/result/c/bb4bc30c-0b6b-4800-adcf-49f9b9734921,1,50.0633,11.7118,22.39,79.533,11.269,9.13239,7.053,340.209,8.825,24.723,2022-12-15 08:53:52.117904
"Verso Networks - Denver, CO",20818,12.3277,0.974,0.0,24930860,4982840,215074344,32555314,https://www.speedtest.net/result/c/a4d7462a-9885-44e8-9bfc-e6ec9d1efe0c,1,31.0128,7.01324,15.39,55.996,45.5941,30.1154,7.464,343.555,11.694,13.731,2022-12-15 08:54:08.520698
"Verso Networks - Denver, CO",20818,15.1118,1.9395,1.69492,27947864,4881353,196962521,17579875,https://www.speedtest.net/result/c/94fc3600-cf15-4975-a85b-169422e7b254,1,50.3377,18.8588,14.469,305.107,71.5342,27.8776,15.836,206.847,12.393,16.54,2022-12-15 08:54:20.812152
"Comcast - Denver, CO",10051,24.3932,4.47075,2.10084,25159470,4987621,364456024,68761161,https://www.speedtest.net/result/c/163b8d12-cf99-4531-a61f-ab5dd5dd1f8a,1,61.0649,30.2611,23.306,1216.35,12.4928,10.7387,6.539,323.486,19.984,34.611,2022-12-15 08:54:52.280073
"Whitesky Communications LLC - Denver, CO",23628,15.4594,6.4225,0.0,36833670,5369362,246404586,30831911,https://www.speedtest.net/result/c/30f13391-a576-4360-bfaa-a5bc43760b88,1,39.5223,10.2022,14.613,61.402,51.3011,26.4362,8.644,315.501,11.879,22.716,2022-12-15 08:55:06.086971
"Whitesky Communications LLC - Denver, CO",23628,11.9954,2.92275,0.0,39184403,5079786,327139632,21512340,https://www.speedtest.net/result/c/af36aed4-2e98-40db-a524-e22f20a3b709,1,39.9703,10.7726,18.79,93.038,81.9851,34.2873,10.859,381.129,11.681,22.9,2022-12-15 08:55:20.067866
"Verso Networks - Denver, CO",20818,51.129,13.7475,0.840336,15454849,3422366,199462280,46243387,https://www.speedtest.net/result/c/2f0108fd-5e0d-4334-a08f-6fe7e21a19b0,1,35.572,14.5436,16.22,432.988,13.2987,11.1605,6.436,708.38,29.562,62.218,2022-12-15 08:55:51.650417
"Whitesky Communications LLC - Denver, CO",23628,12.9913,1.7505,0.0,38371996,5136958,420041507,31059916,https://www.speedtest.net/result/c/df850d36-a65d-4501-a15e-77dd0b853beb,1,35.0924,9.7442,16.873,77.743,63.2827,33.1003,7.509,405.044,11.047,13.849,2022-12-15 08:56:10.241486
"Netprotect - Denver, CO",37501,13.2974,2.60875,,35739942,5219133,429221304,47008720,https://www.speedtest.net/result/c/da13a0cf-514c-4af6-9138-20b8c155683b,1,45.1439,11.0977,18.138,305.444,16.6902,9.68536,7.071,265.575,11.991,16.303,2022-12-15 08:56:33.307164
"Verso Networks - Denver, CO",20818,13.1128,1.132,0.420168,27589374,5003490,367692240,20099207,https://www.speedtest.net/result/c/62b51030-156c-4fff-ab0d-8119a2eb75b1,1,29.6291,6.2841,15.345,47.515,73.0295,31.2931,9.842,289.205,12.16,15.335,2022-12-15 08:56:53.466490
"Nitel - Denver, CO",16797,18.8428,12.6793,0.0,34946011,5108967,330068808,18500253,https://www.speedtest.net/result/c/9799057f-1945-492e-8ae6-2bad6f826dc2,1,47.3416,7.66528,19.033,92.075,318.787,87.7836,23.143,530.035,14.163,32.186,2022-12-15 08:57:08.060178
"CenturyLink, Inc. - Denver, CO",52079,13.1878,2.94925,,36216015,5157310,173404484,29042276,https://www.speedtest.net/result/c/6aee50d4-de82-48ec-b360-b9c16936e85e,1,83.1447,35.1024,18.289,417.659,62.0543,33.9798,8.663,492.951,11.868,18.367,2022-12-15 08:57:19.582367
"ALLO - Denver - Denver, CO",24079,12.5854,1.21525,0.0,37724269,4582316,511592232,38656274,https://www.speedtest.net/result/c/f72068f4-adcb-4a12-9a61-5db52c51c17c,1,45.3696,9.9074,15.64,274.623,36.9655,23.464,8.124,385.329,11.98,14.25,2022-12-15 08:57:47.792002
"CenturyLink, Inc. - Denver, CO",52079,40.3044,14.3168,,27927875,5153902,386389604,65720007,https://www.speedtest.net/result/c/7ddfad8d-a40f-4013-8d38-1718c0f843f2,1,129.528,49.9738,17.754,713.85,48.9688,13.9823,8.538,336.974,24.29,47.267,2022-12-15 08:58:18.539460
"NextLight - Denver, CO",47683,12.1885,1.533,0.0,35245030,4954428,270530984,37842240,https://www.speedtest.net/result/c/aeeb16c7-7e6c-4f3c-91b2-1b481bedd744,1,43.0945,6.93303,17.639,82.332,169.689,52.4483,8.906,606.592,11.589,15.248,2022-12-15 08:58:35.443428
"CenturyLink, Inc. - Denver, CO",52079,12.9756,3.45675,,31855636,5197275,479846476,22928508,https://www.speedtest.net/result/c/7d01aada-c12c-4f6c-b5a9-776c3605f174,1,58.7933,15.0911,14.736,372.274,316.96,87.2675,17.981,491.011,11.568,17.882,2022-12-15 08:58:56.242426
"CenturyLink, Inc. - Denver, CO",52079,13.2128,1.64675,,34189929,4970787,372897908,28709536,https://www.speedtest.net/result/c/74b16b3e-b9f4-4fac-ae85-48cc96654927,1,84.2486,29.5045,14.067,508.127,144.456,46.9096,32.462,356.929,12.246,14.642,2022-12-15 08:59:16.682399
"Comcast - Denver, CO",10051,37.605,11.1892,0.420168,35703720,5138587,451746504,28201039,https://www.speedtest.net/result/c/cc0ff110-0242-4cec-af51-0dc6a779d038,1,47.7939,14.1611,23.226,401.557,299.879,71.6882,21.073,703.864,17.44,58.001,2022-12-15 08:59:39.499592
"Netprotect - Denver, CO",37501,18.1122,5.061,,20013680,2093646,261259700,27645299,https://www.speedtest.net/result/c/55007f2b-2339-40db-ba83-a340afb25694,1,44.7819,12.8695,17.136,353.121,39.5971,43.2654,7.13,915.961,15.846,26.785,2022-12-15 09:00:10.959902
"Netprotect - Denver, CO",37501,15.4997,3.406,,14617772,4865194,196343720,30700411,https://www.speedtest.net/result/c/e77c26d3-3c77-4668-920c-98eb871ed2b0,1,135.122,43.9261,15.46,688.657,39.9072,18.0045,14.238,277.133,11.782,19.338,2022-12-15 09:00:33.783045
"Nitel - Denver, CO",16797,27.9548,13.8778,1.63043,23819890,3217932,252920781,41379466,https://www.speedtest.net/result/c/661809cc-4b3e-471b-a1cd-3b1a2375ce1a,1,54.0695,20.345,20.356,1106.14,21.5286,19.6676,7.956,813.883,24.752,54.295,2022-12-15 09:01:03.696391
